Rating,Review,Score,Sentiment
1,dont waste your money on the finger print id feature its great when it works about of the time most of the time you just have to sign on like the stupid version keypad that cost less,"{'neg': 0.075, 'neu': 0.728, 'pos': 0.197, 'compound': 0.6738}",positive
1,could not get the very feature i purchase the keyboard cover to work on a surface pro,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
1,i bought the other version of the keyboard and had to return it because it caused me contact dermatitis i was hopeful that this luxury material would be comfortable and its not sure at first it feels soft but eventually after spending a few minutes typing and thus moving my hands over it too they start to burn a little because of the keyboards rough surface im very dissapointed about the materials they choose sure they are marketed as luxurious but theyre not gentle for the skin i absolutly love my surface pro but i guess i will have to return it because i cant seem to find keyboard that wont actually make me feel in pain,"{'neg': 0.093, 'neu': 0.825, 'pos': 0.082, 'compound': -0.0984}",neutral
1,the keyboard is necessary to use the surface pro the surface does not cooperate well with generic wireless keyboards so i was forced to purchase this one typing is very bothersome for whatever reason the mousepad is overly sensitive and just hitting regular keys results in mouseclicks that put the cursor anywhere on the screen im very disappointed at the very poor quality of this keyboard,"{'neg': 0.194, 'neu': 0.806, 'pos': 0.0, 'compound': -0.9256}",negative
1,it stops working completely after eight months when attached to the sp its as if it is not connected there is no back light key presses the fingerprint reader and the track pad do not have any response also tried it on my friends sp it does not work either while my friends type cover works on my sp my sp has the latest update and i also tried twobutton shutdown and reinstalling the driver,"{'neg': 0.048, 'neu': 0.875, 'pos': 0.077, 'compound': 0.5267}",positive
1,i bought this keyboard for the finger print reader and it does not work consistently about one in ten logins will it actually work sometimes the option to use the fingerprint reader isnt even available not happy,"{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.4585}",neutral
1,i purchased this keyboard to go with my fantastic surface pro the high end one for the money this keyboard is poor quality so rather than go for this keyboard my advice is go for the one with the finger print reader same price better quality and functions alas i still have mine however i purchased the fingerprint one now but have this gray one doing nothing,"{'neg': 0.053, 'neu': 0.884, 'pos': 0.063, 'compound': 0.1655}",neutral
1,seriously they actually write the spec at watts thats beyond ludicrous i doubt that it even puts out one hundredth of that power even for a real amplifier to put out a true watts its going to cost you to and the unit itself will have a huge transformer weighing to lbs alone besides you couldnt even plug the unit in to a standard wall plug which only gives watts max so just say no to this,"{'neg': 0.137, 'neu': 0.8, 'pos': 0.063, 'compound': -0.6204}",negative
1,this is not at all what it was made out to be not at all worth the money my little bluetooth portable speaker sounds way better than this thing the functions are horrible to switch back and forth when you flip the power switch to off it makes a horrible pop sound and sounds like the speakers are going to blow i would not waste a penny on this unit save your money and donate it to a good cause or something,"{'neg': 0.094, 'neu': 0.757, 'pos': 0.15, 'compound': 0.6329}",positive
1,it straight up didnt work would not recommend it had decent bass but that was only when the speakers work go ahead and spend more to get something much nicer and reliable,"{'neg': 0.043, 'neu': 0.809, 'pos': 0.148, 'compound': 0.5782}",positive
1,this so called slim mount does not allow shifting leftright unless fully extendeddefeating the purpose of a slim mount in most installations if you slide the tv on the mounting bar the bar will tilt or bend and the tv will be tilted toward the heavier side of the bar this contradicts the information advertised on their webpage although they have clarified the description somewhat here on amazon the only way to shift it is to fully extend it from the wall then the wall arms themselves can shift a few inches on the wall plate if you are able to install the mount centered between two studs then perhaps you have no need to shift the tv while in the slim position my studs were only off center of my wall yet my tv is lopsided when i move it a few inches to the center from everything sanus described about this mount at the time i understood the tv could be shifted while in any position not even close i need the tv to be close to the wall due to some near side seating because of this mounts limitations we cant view the tv from those sides the mount os too far from the wall and have the tv centered at the same time i could have purchased a much less expensive slim mount that would have had less limitations than this one this mount did not fit the bill,"{'neg': 0.036, 'neu': 0.95, 'pos': 0.014, 'compound': -0.6482}",negative
1,i bought this mount for my sharp aquos and it does not support the weight when extending it away from the wall it tilts to one side or the other if it is not perfectly centered and not by just a little,"{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.6834}",negative
1,six months ago my fh and i bought a panasonic viera lcd tv we also bought this wall mount to hold it up we happily took it home set it up and for six months enjoyed the tv without a care in the world until this morning we were in the kitchen making breakfast when we heard a crash from the living room and ran in to find the wall mount had fallen out of the wall i double checked that we had had it in studs with our stud finder just like i did when i installed it and found that the back panel had bent up when i lifted the tv to move it i saw that it was covered in spiderweb cracks i am so so upset right now this piece of trash has cost me or more to get a new tv,"{'neg': 0.077, 'neu': 0.859, 'pos': 0.063, 'compound': -0.2829}",neutral
1,we purchased this item in november it took us a few weeks before we set it up and by january it wasnt charging any longer i contacted their customer service by feb they were very responsive at first but three weeks went by without responding to my email i called today and was told they never received my email and i needed to provide the information again once they review it i will need to return the speaker to them before they will provide a new speaker if you dont mind having your unit fail after light use for two months and jump through a bunch of hoops to get a replacement and not having your speaker for a few months then this unit is fine,"{'neg': 0.039, 'neu': 0.928, 'pos': 0.033, 'compound': -0.3926}",neutral
1,i was really excited about this speaker but unfortunately this is the worst bluetooth speaker ive ever used the sound quality is clean and crisp has some bass but not a lot the issue seems to be its ability to keep a connection and the alexa support its very buggy and needs work whenever i have my phone paired to the speaker via bluetooth then ask the speaker a question using its builtin alexa feature i hear nothing but hiss and static when i go back to playing music the sound will be from my phone only i have to repair the bluetooth connection i have to do this every time i attempt to ask the speaker a question the alexa feature doesnt seem to work at all if i ask it a question i get seconds of hissing noise they have an android app it appears many people are having issues with their app the rating for their app is quite low with numerous complaints i cant recommend this speaker at the moment perhaps an update will address these issues,"{'neg': 0.096, 'neu': 0.829, 'pos': 0.075, 'compound': -0.7147}",negative
1,worthless device under warranty logitech will not replace,"{'neg': 0.293, 'neu': 0.707, 'pos': 0.0, 'compound': -0.4404}",neutral
1,when i got this it had a attached cover letter to help you get started didnt work for me first i could not find the android app in the play store there were other similar apps but none of them looked like they were applicable and their reviews were not very good so i went to my apple ipad and found a app there during the setup the speaker itself needed to be set up on my wifi i did that and then it failed several times to connect to a update server i have a limited wifi connection and this chewed up about megs and still not a peep out of the speaker i think this device is way too complicated for the average user,"{'neg': 0.081, 'neu': 0.865, 'pos': 0.054, 'compound': -0.6635}",negative
1,good bag bad bestbuy service they were unable to privenatch this one with amazon sold by amazon directly just because the price variation is too much,"{'neg': 0.11, 'neu': 0.692, 'pos': 0.198, 'compound': 0.2023}",neutral
1,unfortunately the memory did not work after i installed it i turned the computer on and it wouldnt boot up it just gave me a long beep every five seconds or so i had to return the memory,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.34}",neutral
1,the bass will make it keep moving so that it will eventually keep falling off whatever you set it on plus when it falls the side will pop off and eventually break so that they wont stay on making it so the water can get inside,"{'neg': 0.034, 'neu': 0.966, 'pos': 0.0, 'compound': -0.1531}",neutral
1,terrible stopped working after two weeks i do not recommend,"{'neg': 0.542, 'neu': 0.458, 'pos': 0.0, 'compound': -0.7278}",negative
1,would not come on unless plugged in battery would never charge up connecting to phone was nearly impossible was only successful at doing it only a couple times threw it in trash,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.5859}",positive
1,the price for this speaker encouraged me to buy but the sound was actually worse than the laptops little tinny speakers,"{'neg': 0.167, 'neu': 0.763, 'pos': 0.07, 'compound': -0.5267}",negative
1,i was hoping it would have a decent sound but it was so bad that i had to keep the volume low it was a cheap speaker as far as speakers go so i didnt have high expectations just thought id take it for a testrun knowing i could return it if i didnt like it i returned the speaker,"{'neg': 0.191, 'neu': 0.777, 'pos': 0.031, 'compound': -0.8922}",negative
1,wouldnt charge at all even though it was brand new,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
1,soso sound but more importantly the speaker emitted a highpitch squeak when it wasnt plugged in to power returned to store,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.5251}",positive
1,all i know is if the sales rep was honest about the data use we would never purchased it either way our last time we will buy from you again nothing was done now stuck paying cancellation fee,"{'neg': 0.05, 'neu': 0.868, 'pos': 0.082, 'compound': 0.3182}",neutral
1,hated it used data at dd hours of nite an even when unplugged an turned off,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.6369}",negative
1,i never got to hear what kind of sound quality it would produce because the stereo deck was bad right out of the box it was hooked up properly according to the directionswiring diagram and it wouldnt power upwhen i checked it with a multimeter it didnt have continuity through itself internally,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.5423}",negative
1,my problem was that the laptop was no longer charging purchased this lenovo adapter and it worked at first now nine months later it is doing the same thing it did before,"{'neg': 0.14, 'neu': 0.86, 'pos': 0.0, 'compound': -0.5994}",negative
1,the charger is such a low wattage that it fails to charge my lenovo thinkpad despite the website saying it supported this type of computer,"{'neg': 0.174, 'neu': 0.745, 'pos': 0.082, 'compound': -0.3818}",neutral
1,it was false advertising shows howard and football on box but you cant get on the receiver very disappointed,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.6798}",negative
1,the product is bulky the equipment they have to connect it to your car is ridiculous and doesnt work takes up tons of dash space do you like wires running through your car that is what you will get as well want to hook it up via bluetooth or usb nope only s technology works here can connect it via fm radio although the transmitter sucks so sound quality is horrible or aux headphone jack quality also sucks dont waste your time,"{'neg': 0.119, 'neu': 0.791, 'pos': 0.089, 'compound': -0.5815}",negative
1,it okay to work with for beginners easy to setup listen,"{'neg': 0.0, 'neu': 0.652, 'pos': 0.348, 'compound': 0.5859}",positive
1,i returned it the monthly cost was way too expensive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
1,the product is bulky the equipment they have to connect it to your car is ridiculous and doesnt work takes up tons of dash space do you like wires running through your car that is what you will get as well want to hook it up via bluetooth or usb nope only s technology works here can connect it via fm radio although the transmitter sucks so sound quality is horrible or aux headphone jack quality also sucks dont waste your time,"{'neg': 0.119, 'neu': 0.791, 'pos': 0.089, 'compound': -0.5815}",negative
1,i returned it the monthly cost was way too expensive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
1,it was false advertising shows howard and football on box but you cant get on the receiver very disappointed,"{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.6798}",negative
1,get ch if no they are selling you an outdated platform,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}",neutral
1,great having gb of memory only problem was every time i opened a rpogram got memory allocation errors and then system rebooted it ws exactly the memory that the pc required put original memory back and not a problem except its only gb,"{'neg': 0.159, 'neu': 0.711, 'pos': 0.13, 'compound': -0.1027}",neutral
1,installed in a new dell xps tower memory speed showed hz when all installed memory was hz and all ddr memory computer would show proper memory amount but would freeze all the time take this memory out and it wouldnt freeze memory test showed errors replaced with consair brand no issues,"{'neg': 0.108, 'neu': 0.844, 'pos': 0.048, 'compound': -0.6486}",negative
1,i returned because it didnt work in this alienware aurora desktop intel core i gb memory nvidia geforce gtx tb hard drive epic silvereither the memorys fault or pc they both get a,"{'neg': 0.128, 'neu': 0.872, 'pos': 0.0, 'compound': -0.4767}",neutral
1,one of the sticks of ram turned out to be doa then the nd died about hours after installing it i would avoid this kit at all costs,"{'neg': 0.275, 'neu': 0.725, 'pos': 0.0, 'compound': -0.8442}",negative
1,have a rayzen msi bm bazooka motherboard and a rx g video card did not boot up when installed remove one stick and it workedswitch and did not work and the ram wasnt compatible with the motherboard cpu crash randomly i would not recommend for this specific set up,"{'neg': 0.101, 'neu': 0.899, 'pos': 0.0, 'compound': -0.5873}",negative
1,i had a sales perso check to see if this was the correct memory for my computer i found out that it was not and will be returning it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",neutral
1,they gave me the wrong ram and thank goodness i didnt break my computer,"{'neg': 0.167, 'neu': 0.538, 'pos': 0.296, 'compound': 0.34}",neutral
1,this memory only ran at mhz if you can find some it will run between to but no fasterfor you info fast as ram can go is just about mhz no matter what the package says search on youtube for something like how fast is computer memory really dont pay for mhz bs ram no such thing,"{'neg': 0.128, 'neu': 0.777, 'pos': 0.095, 'compound': -0.4834}",neutral
1,broken out of the box this is the th item from bb that this has happened,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.4767}",neutral
